RANK,TEAM,GP,W,L,OL,PTS,PTS_PCT,GF,GA,SOW,SOL,GFPG,GAPG,PP_PCT,PK_PCT,PIMPG,SHOTS,SHOTSPG,S_PCT,SAVES,SAVESPG,SAV_PCT,SO
1,Winnipeg Jets,82,56,22,4,116,0.707,275,190,2,1,3.35,2.32,28.9,79.4,7.2,2314,28.2195122,11.9,2229,27.18292683,0.915,10
2,Washington Capitals,82,51,22,9,111,0.677,286,229,2,3,3.49,2.79,23.53,82.01,9.5,2265,27.62195122,12.6,2229,27.18292683,0.897,3
3,Vegas Golden Knights,82,50,22,10,110,0.671,274,214,1,5,3.34,2.61,28.34,75.74,5.6,2482,30.26829268,11,2141,26.1097561,0.9,6
4,Toronto Maple Leafs,82,52,26,4,108,0.659,267,229,1,2,3.26,2.79,24.77,77.87,8,2297,28.01219512,11.6,2405,29.32926829,0.905,5
5,Dallas Stars,82,50,26,6,106,0.646,275,222,2,2,3.35,2.71,22,82.02,7,2325,28.35365854,11.8,2382,29.04878049,0.907,4
6,Los Angeles Kings,82,48,25,9,105,0.64,249,203,1,3,3.04,2.48,17.87,81.43,7.8,2302,28.07317073,10.8,2091,25.5,0.903,6
7,Tampa Bay Lightning,82,47,27,8,102,0.622,292,216,2,3,3.56,2.63,25.86,81.55,8.1,2341,28.54878049,12.5,2311,28.18292683,0.907,7
8,Colorado Avalanche,82,49,29,4,102,0.622,273,231,4,3,3.33,2.82,24.79,79.81,6.8,2451,29.8902439,11.1,2126,25.92682927,0.891,5
9,Edmonton Oilers,82,48,29,5,101,0.616,259,235,0,1,3.16,2.87,23.72,78.16,7.5,2622,31.97560976,9.9,2211,26.96341463,0.894,4
10,Carolina Hurricanes,82,47,30,5,99,0.604,266,230,0,3,3.24,2.8,18.7,83.61,7.9,2599,31.69512195,10.2,2044,24.92682927,0.887,5
11,Florida Panthers,82,47,31,4,98,0.598,246,223,6,0,3,2.72,23.53,80.74,10.4,2588,31.56097561,9.5,2146,26.17073171,0.896,8
12,Minnesota Wild,82,45,30,7,97,0.591,225,236,3,3,2.74,2.88,20.87,72.41,7.6,2263,27.59756098,9.9,2427,29.59756098,0.903,6
13,Ottawa Senators,82,45,30,7,97,0.591,242,232,1,2,2.95,2.83,23.79,77.73,8.5,2403,29.30487805,10.1,2346,28.6097561,0.901,10
14,Calgary Flames,82,41,27,14,96,0.585,220,236,5,2,2.68,2.88,21.03,76.11,9.2,2414,29.43902439,9.1,2372,28.92682927,0.901,5
15,St. Louis Blues,82,44,30,8,96,0.585,250,231,4,2,3.05,2.82,22.05,74.35,7.5,2185,26.64634146,11.4,2236,27.26829268,0.897,4
16,Montreal Canadiens,82,40,31,11,91,0.555,243,261,2,4,2.96,3.18,20.09,80.93,9.3,2095,25.54878049,11.6,2383,29.06097561,0.89,5
17,New Jersey Devils,82,42,33,7,91,0.555,240,220,2,2,2.93,2.68,28.24,82.67,8.4,2303,28.08536585,10.4,2160,26.34146341,0.898,9
18,Vancouver Canucks,82,38,30,14,90,0.549,233,251,3,2,2.84,3.06,22.52,82.59,9.3,2094,25.53658537,11.1,2198,26.80487805,0.886,5
19,Columbus Blue Jackets,82,40,33,9,89,0.543,267,267,6,1,3.26,3.26,19.46,76.96,8.2,2382,29.04878049,11.2,2453,29.91463415,0.891,4
20,Utah Hockey Club,82,38,31,13,89,0.543,240,247,1,4,2.93,3.01,24.15,79.28,9.6,2339,28.52439024,10.3,2270,27.68292683,0.891,2
21,Detroit Red Wings,82,39,35,8,86,0.524,235,259,3,0,2.87,3.16,27,70.11,6.8,2249,27.42682927,10.4,2335,28.47560976,0.889,4
22,New York Rangers,82,39,36,7,85,0.518,255,255,1,0,3.11,3.11,17.62,80.33,8.4,2344,28.58536585,10.9,2451,29.8902439,0.896,9
23,New York Islanders,82,35,35,12,82,0.5,222,257,2,3,2.71,3.13,12.56,72.22,5.7,2418,29.48780488,9.2,2356,28.73170732,0.891,4
24,Pittsburgh Penguins,82,34,36,12,80,0.488,242,287,1,6,2.95,3.5,25.79,77.78,6.8,2323,28.32926829,10.4,2470,30.12195122,0.884,3
25,Anaheim Ducks,82,35,37,10,80,0.488,217,261,4,2,2.65,3.18,11.76,74.19,8.9,2270,27.68292683,9.6,2648,32.29268293,0.901,1
26,Buffalo Sabres,82,36,39,7,79,0.482,265,287,4,2,3.23,3.5,18.78,76.35,10.2,2278,27.7804878,11.6,2368,28.87804878,0.879,3
27,Boston Bruins,82,33,39,10,76,0.463,222,271,0,1,2.71,3.3,15.22,76.27,9.8,2173,26.5,10.2,2346,28.6097561,0.884,7
28,Seattle Kraken,82,35,41,6,76,0.463,245,262,2,3,2.99,3.2,18.94,77.2,7.1,2242,27.34146341,10.9,2342,28.56097561,0.888,2
29,Philadelphia Flyers,82,33,39,10,76,0.463,232,283,6,3,2.83,3.45,14.95,77.61,7.3,2212,26.97560976,10.5,2210,26.95121951,0.872,3
30,Nashville Predators,82,30,44,8,68,0.415,212,274,2,0,2.59,3.34,21.83,81.48,9.8,2403,29.30487805,8.8,2342,28.56097561,0.883,4
31,Chicago Blackhawks,82,25,46,11,61,0.372,224,292,2,4,2.73,3.56,24.87,79.3,8.6,2005,24.45121951,11.2,2550,31.09756098,0.885,0
32,San Jose Sharks,82,20,50,12,52,0.317,208,310,2,5,2.54,3.78,18.58,74.22,8.7,2203,26.86585366,9.4,2606,31.7804878,0.881,1
