SEASON,RANK,TEAM,GP,W,L,OW,OL,W_L_PCT,GF,GA,DIFF,PWP
2024-2025,1,CAR,10,8,2,2,1,0.8,34,18,16,0.781081081
2024-2025,2,EDM,11,8,3,3,0,0.727,43,34,9,0.61530782
2024-2025,3,FLO,11,7,4,1,0,0.636,39,28,11,0.659869848
2024-2025,4,DAL,12,7,5,2,0,0.583,32,37,-5,0.427914751
2024-2025,5,TOR,12,7,5,2,2,0.583,35,36,-1,0.485918286
2024-2025,6,WPG,12,6,6,1,0,0.5,34,38,-4,0.444615385
2024-2025,7,WSH,10,5,5,1,1,0.5,25,27,-2,0.461595273
2024-2025,8,VGK,11,5,6,2,2,0.455,28,35,-7,0.390243902
2024-2025,9,COL,7,3,4,0,2,0.429,24,21,3,0.566371681
2024-2025,10,STL,7,3,4,0,1,0.429,27,21,6,0.623076923
2024-2025,11,OTT,6,2,4,1,2,0.333,16,19,-3,0.414910859
2024-2025,12,MIN,6,2,4,0,2,0.333,19,18,1,0.527007299
2024-2025,13,LAK,6,2,4,0,1,0.333,24,27,-3,0.44137931
2024-2025,14,NJD,5,1,4,1,1,0.2,11,19,-8,0.251037344
2024-2025,15,MTL,5,1,4,0,1,0.2,12,18,-6,0.307692308
2024-2025,16,TBL,5,1,4,0,0,0.2,12,19,-7,0.285148515
