"SEASON","TEAM_ABB","GF","GA","PWP"
"2024-2025","CAR",34,18,0.781081081081081
"2024-2025","EDM",43,34,0.615307820299501
"2024-2025","DAL",34,38,0.444615384615385
"2024-2025","FLA",39,28,0.659869848156182
"2024-2025","TOR",35,36,0.485918286394288
"2024-2025","WPG",35,40,0.433628318584071
"2024-2025","WSH",25,27,0.461595273264402
"2024-2025","VGK",28,35,0.390243902439024
"2024-2025","COL",24,21,0.566371681415929
"2024-2025","STL",27,21,0.623076923076923
"2024-2025","OTT",16,19,0.414910858995138
"2024-2025","MIN",19,18,0.527007299270073
"2024-2025","LAK",24,27,0.441379310344828
"2024-2025","NJD",11,19,0.25103734439834
"2024-2025","MTL",12,18,0.307692307692308
"2024-2025","TBL",12,19,0.285148514851485
