artist_name,artist_id,followers,popularity,avg_top_track_popularity,estimated_revenue,date
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6471371,86,83.0,42969.90344,2025-06-27
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23627947,92,89.4,168987.076944,2025-06-27
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22185085,91,84.1,149261.25188,2025-06-27
Anitta,7FNnA9vBm6EKceENgCGRMb,13185795,82,74.0,78059.9064,2025-06-27
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2133484,79,75.4,12869.175488,2025-06-27
RAC,4AGwPDdh1y8hochNzHy5HC,170015,57,51.5,700.4618,2025-06-27
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6199138,82,78.0,38682.62112,2025-06-27
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2286143,82,77.9,14247.243176000002,2025-06-27
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6471371,86,83.0,42969.90344,2025-06-27
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23627947,92,89.4,168987.076944,2025-06-27
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22185085,91,84.1,149261.25188,2025-06-27
Anitta,7FNnA9vBm6EKceENgCGRMb,13185795,82,74.0,78059.9064,2025-06-27
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2133484,79,75.4,12869.175488,2025-06-27
RAC,4AGwPDdh1y8hochNzHy5HC,170015,57,51.5,700.4618,2025-06-27
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6199138,82,78.0,38682.62112,2025-06-27
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2286143,82,77.9,14247.243176000002,2025-06-27
